LD,REG16_INDIRECT,REG16_HL,REG8,REG_A,1,8,0,0x77,
LD,REG8,REG_A,REG8,REG_B,1,4,0,0x78,
LD,REG8,REG_A,REG8,REG_C,1,4,0,0x79,
LD,REG8,REG_A,REG8,REG_D,1,4,0,0x7a,
LD,REG8,REG_A,REG8,REG_E,1,4,0,0x7b,
LD,REG8,REG_A,REG8,REG_H,1,4,0,0x7c,
LD,REG8,REG_A,REG8,REG_L,1,4,0,0x7d,
LD,REG8,REG_A,REG16_INDIRECT,REG16_HL,1,8,0,0x7e,
LD,REG8,REG_A,REG8,REG_A,1,4,0,0x7f,
ADD,REG8,REG_A,REG8,REG_B,1,4,0,0x80,
ADD,REG8,REG_A,REG8,REG_C,1,4,0,0x81,
ADD,REG8,REG_A,REG8,REG_D,1,4,0,0x82,
ADD,REG8,REG_A,REG8,REG_E,1,4,0,0x83,
ADD,REG8,REG_A,REG8,REG_H,1,4,0,0x84,
ADD,REG8,REG_A,REG8,REG_L,1,4,0,0x85,
ADD,REG8,REG_A,REG16_INDIRECT,REG16_HL,1,8,0,0x86,
ADD,REG8,REG_A,REG8,REG_A,1,4,0,0x87,
ADC,REG8,REG_A,REG8,REG_B,1,4,0,0x88,
ADC,REG8,REG_A,REG8,REG_C,1,4,0,0x89,
ADC,REG8,REG_A,REG8,REG_D,1,4,0,0x8a,
ADC,REG8,REG_A,REG8,REG_E,1,4,0,0x8b,
ADC,REG8,REG_A,REG8,REG_H,1,4,0,0x8c,
ADC,REG8,REG_A,REG8,REG_L,1,4,0,0x8d,
ADC,REG8,REG_A,REG16_INDIRECT,REG16_HL,1,8,0,0x8e,
ADC,REG8,REG_A,REG8,REG_A,1,4,0,0x8f,
SUB,REG8,REG_B,NONE,REG_A,1,4,0,0x90,
SUB,REG8,REG_C,NONE,REG_A,1,4,0,0x91,
SUB,REG8,REG_D,NONE,REG_A,1,4,0,0x92,
SUB,REG8,REG_E,NONE,REG_A,1,4,0,0x93,
SUB,REG8,REG_H,NONE,REG_A,1,4,0,0x94,
SUB,REG8,REG_L,NONE,REG_A,1,4,0,0x95,
SUB,REG16_INDIRECT,REG16_HL,NONE,REG_A,1,8,0,0x96,
SUB,REG8,REG_A,NONE,REG_A,1,4,0,0x97,
SBC,REG8,REG_A,REG8,REG_B,1,4,0,0x98,
SBC,REG8,REG_A,REG8,REG_C,1,4,0,0x99,
SBC,REG8,REG_A,REG8,REG_D,1,4,0,0x9a,
SBC,REG8,REG_A,REG8,REG_E,1,4,0,0x9b,
SBC,REG8,REG_A,REG8,REG_H,1,4,0,0x9c,
SBC,REG8,REG_A,REG8,REG_L,1,4,0,0x9d,
SBC,REG8,REG_A,REG16_INDIRECT,REG16_HL,1,8,0,0x9e,
SBC,REG8,REG_A,REG8,REG_A,1,4,0,0x9f,
AND,REG8,REG_B,NONE,REG_A,1,4,0,0xa0,
AND,REG8,REG_C,NONE,REG_A,1,4,0,0xa1,
AND,REG8,REG_D,NONE,REG_A,1,4,0,0xa2,
AND,REG8,REG_E,NONE,REG_A,1,4,0,0xa3,
AND,REG8,REG_H,NONE,REG_A,1,4,0,0xa4,
AND,REG8,REG_L,NONE,REG_A,1,4,0,0xa5,
AND,REG16_INDIRECT,REG16_HL,NONE,REG_A,1,8,0,0xa6,
AND,REG8,REG_A,NONE,REG_A,1,4,0,0xa7,
XOR,REG8,REG_B,NONE,REG_A,1,4,0,0xa8,
XOR,REG8,REG_C,NONE,REG_A,1,4,0,0xa9,
XOR,REG8,REG_D,NONE,REG_A,1,4,0,0xaa,
XOR,REG8,REG_E,NONE,REG_A,1,4,0,0xab,
XOR,REG8,REG_H,NONE,REG_A,1,4,0,0xac,
XOR,REG8,REG_L,NONE,REG_A,1,4,0,0xad,
XOR,REG16_INDIRECT,REG16_HL,NONE,REG_A,1,8,0,0xae,
XOR,REG8,REG_A,NONE,REG_A,1,4,0,0xaf,
OR,REG8,REG_B,NONE,REG_A,1,4,0,0xb0,
OR,REG8,REG_C,NONE,REG_A,1,4,0,0xb1,
OR,REG8,REG_D,NONE,REG_A,1,4,0,0xb2,
OR,REG8,REG_E,NONE,REG_A,1,4,0,0xb3,
OR,REG8,REG_H,NONE,REG_A,1,4,0,0xb4,
OR,REG8,REG_L,NONE,REG_A,1,4,0,0xb5,
OR,REG16_INDIRECT,REG16_HL,NONE,REG_A,1,8,0,0xb6,
OR,REG8,REG_A,NONE,REG_A,1,4,0,0xb7,
CP,REG8,REG_B,NONE,REG_A,1,4,0,0xb8,
CP,REG8,REG_C,NONE,REG_A,1,4,0,0xb9,
CP,REG8,REG_D,NONE,REG_A,1,4,0,0xba,
CP,REG8,REG_E,NONE,REG_A,1,4,0,0xbb,
CP,REG8,REG_H,NONE,REG_A,1,4,0,0xbc,
CP,REG8,REG_L,NONE,REG_A,1,4,0,0xbd,
CP,REG16_INDIRECT,REG16_HL,NONE,REG_A,1,8,0,0xbe,
CP,REG8,REG_A,NONE,REG_A,1,4,0,0xbf,
RET,NZ,REG_A,NONE,REG_A,1,20,8,0xc0,
